run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a,agent1_pi_C,agent1_pi_W,agent2_pi_C,agent2_pi_W,agent1_rate_C,agent1_rate_W,agent2_rate_C,agent2_rate_W,agent1_mean_action_time,agent2_mean_action_time,model_specialization_index_rate,model_specialization_index_decision_fraction,specialization_index_walks_rate,specialization_index_walks_decision_fraction
5248,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8396242238592084,0.5813621776137807,0.5813621776137807,2.6939244529732096,0.4807475823049428,0.5192524176950571,0.5192524176950571,0.4807475823049428,0.4250035771974779,0.4590436709650599,0.4590436709650599,0.4250035771974779,1.1311612609829012,1.1311612609829012,0.0385048353900707,0.0385048353900757,0.0385048353900707,0.0385048353900757
5249,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8399329010266602,0.5708723033393451,0.5708723033393451,2.5335357740830804,0.4781194422782248,0.5218805577217751,0.5218805577217751,0.4781194422782249,0.4230645325221746,0.4617866053154434,0.4617866053154434,0.4230645325221747,1.130133597888319,1.130133597888319,0.0437611154435007,0.0437611154435064,0.0437611154435007,0.0437611154435064
5250,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8423956204296681,0.8612542811004256,0.8612542811004256,2.431478973010075,0.4619521565914254,0.5380478434085745,0.5380478434085746,0.4619521565914253,0.4102370902847678,0.4778139436399484,0.4778139436399485,0.4102370902847678,1.1260614106607458,1.1260614106607458,0.0760956868170634,0.076095686817073,0.0760956868170634,0.076095686817073
5251,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8384271523269494,0.3458409351528264,0.3458409351528264,2.6601904336760125,0.48851595497334,0.5114840450266601,0.51148404502666,0.48851595497334,0.4312628990480834,0.4515391766213161,0.451539176621316,0.4312628990480834,1.132756738526847,1.132756738526847,0.022968090053294,0.022968090053297,0.022968090053294,0.022968090053297
5252,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8377408735759253,0.2030860166026292,0.2030860166026292,2.5547583363859028,0.4926385398555714,0.5073614601444286,0.5073614601444286,0.4926385398555714,0.4347085343372584,0.4477001673138618,0.4477001673138618,0.4347085343372583,1.1332617166272825,1.1332617166272825,0.0147229202888405,0.0147229202888424,0.0147229202888405,0.0147229202888424
5253,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8382447019472091,0.3568522480103299,0.3568522480103299,2.894330517883058,0.4904766095705031,0.5095233904294968,0.5095233904294968,0.4904766095705031,0.4326054078808373,0.4494048642494849,0.4494048642494849,0.4326054078808373,1.1337736436841,1.1337736436841,0.019046780858972,0.0190467808589745,0.019046780858972,0.0190467808589745
5254,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8406295990004936,0.65666009481207,0.65666009481207,2.4876892958795187,0.4734145852495682,0.5265854147504319,0.5265854147504319,0.4734145852495682,0.4193482948068334,0.4664467522252878,0.4664467522252878,0.4193482948068334,1.128929319881078,1.128929319881078,0.0531708295008036,0.0531708295008104,0.0531708295008036,0.0531708295008104
5255,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8400213879763369,0.5300244720879222,0.5300244720879222,2.3820098996766963,0.4768098576124493,0.5231901423875507,0.5231901423875507,0.4768098576124494,0.4221927335205509,0.4632602972423089,0.4632602972423089,0.422192733520551,1.1293653816266829,1.1293653816266829,0.0463802847750489,0.0463802847750549,0.0463802847750489,0.0463802847750549
5256,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8387658098485398,0.4114082487528003,0.4114082487528003,2.663059016378204,0.4862856628311248,0.5137143371688752,0.513714337168875,0.4862856628311248,0.4294688183903797,0.4536927699855534,0.4536927699855534,0.4294688183903798,1.132295621958518,1.132295621958518,0.0274286743377191,0.0274286743377228,0.0274286743377191,0.0274286743377228
5257,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8420098624861336,0.7928795115682292,0.7928795115682292,2.3919885463522568,0.4641863991629482,0.5358136008370518,0.5358136008370518,0.4641863991629482,0.4120646507719131,0.4756491028300354,0.4756491028300354,0.4120646507719131,1.126489249425779,1.126489249425779,0.0716272016740229,0.0716272016740319,0.0716272016740229,0.0716272016740319
