run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a
5278,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7170382191775975,-0.8885530689675792,0.8885530689675792,0.614722933639456
5279,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7103136465924514,0.06306065306196759,0.06306065306196759,0.17400023456266916
5280,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.758985124650068,1.045269575686223,1.045269575686223,0.14761666875801766
5281,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6958139559817882,-0.0553314563769447,0.0553314563769447,0.5052128321751583
5282,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7018293861909217,0.4009354613704707,0.4009354613704707,0.499283095524457
5283,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9127427821782347,2.1317655904518933,2.1317655904518933,-0.5584210130758381
5284,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6954340177232421,0.6045082401183566,0.6045082401183566,0.7686605242314969
5285,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7066172273654868,0.014911280558856935,0.014911280558856935,0.25564356377193387
5286,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7948419332718492,1.648329301208531,1.648329301208531,0.38344384755573685
5287,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6870975111486162,0.0779215568857818,0.0779215568857818,0.7110092248054607
5288,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8016494975389087,1.21853360898571,1.21853360898571,-0.2155450141200669
5289,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7461857267705696,0.5289084841811196,0.5289084841811196,-0.3018672311401036
5290,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7195318460832932,-0.4780778912437435,0.4780778912437435,0.19597833778429774
5291,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7430705640483445,-0.880920183855614,0.880920183855614,0.19359202587532343
5292,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9162349747867254,-2.206097168681957,2.206097168681957,-0.5260247098494664
5293,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7152842945316474,-0.2543068111214264,0.2543068111214264,0.12604268141404934
5294,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7767433167815209,0.8093905422153478,0.8093905422153478,-0.4620441569773195
5295,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7889344418963993,1.177282652946588,1.177282652946588,-0.09938308648317687
5296,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.843017641832838,1.7265777347597495,1.7265777347597495,-0.09006028846223824
5297,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7409906765971641,0.8607881906346924,0.8607881906346924,0.20360610119101893
5298,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7369365582551152,0.7565714527585412,0.7565714527585412,0.1543562350220562
5299,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7109618458515609,0.22491005943624112,0.22491005943624112,0.2081317700573866
5300,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6956764926193836,0.11764673704634368,0.11764673704634368,0.5173304515538268
5301,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7219701306202594,0.23612323257188866,0.23612323257188866,-0.039701076419296176
5302,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7842546984478519,1.4319516665666505,1.4319516665666505,0.2667491846491916
5303,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7151429178028096,-0.7494101203006692,0.7494101203006692,0.5171567844456463
5304,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8447510945032889,-1.5637029444791528,1.5637029444791528,-0.31574920018881725
5305,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.811040950638668,-1.2786484279572734,1.2786484279572734,-0.25915729558266487
5306,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6972503987639587,-0.6558344270573201,0.6558344270573201,0.7707623400989643
5307,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6934727171956777,0.1692914090109772,0.1692914090109772,0.5796063792511168
5308,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.706768704200028,0.20558192870887462,0.20558192870887462,0.29338824097318156
5309,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8468403842233725,-1.8231301640664046,1.8231301640664046,-0.02224140298675563
5310,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7228480836411381,0.1966103354120185,0.1966103354120185,-0.08471114111577048
5311,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9556930203942551,-2.476415485763595,2.476415485763595,-1.0456017582236792
5312,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7485829574402544,0.6556765154934072,0.6556765154934072,-0.17231370854381767
5313,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9074607816027266,2.258218649150701,2.258218649150701,-0.3224481098452788
5314,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9335800135784759,2.3719331708143474,2.3719331708143474,-0.6447857885146986
5315,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8451872581638658,-1.8528543204307495,1.8528543204307495,0.03192747262849448
5316,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6977012362597943,-0.1620400053852362,0.1620400053852362,0.48171632713528906
5317,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.935788665225852,2.4928375049929263,2.4928375049929263,-0.5463612983777
5318,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8242266958495462,-1.417072227786321,1.417072227786321,-0.24479693200744077
5319,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6940233945796768,-0.004577128050767761,0.004577128050767761,0.5439170224009213
5320,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7946788680279786,-1.1144847213069635,1.1144847213069635,-0.2645332181200751
5321,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7551001049147458,-0.8764495224379296,0.8764495224379296,0.001630703102505647
5322,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6886325558975243,-0.05986280057776728,0.05986280057776728,0.6726509962317554
